Date,Ticker,Currency,Open,High,Low,Close,Adj Close,Volume,Change,%Change,MarketCap
2020-01-01,HDFCBANK.NS,INR,638.05,640.00,635.30,639.30,599.98,3673698,1.25,0.20,14516263845888
2020-01-01,HINDUNILVR.NS,INR,1930.00,1939.90,1918.00,1936.55,1770.76,543035,6.55,0.34,5901703446528
2020-01-01,ICICIBANK.NS,INR,539.90,542.50,535.70,536.75,519.14,7642793,-3.15,-0.58,9712583049216
2020-01-01,INFY.NS,INR,735.00,740.00,732.55,736.85,646.52,2112415,1.85,0.25,6006129557504
2020-01-01,RELIANCE.NS,INR,693.98,698.14,688.26,690.14,675.32,14004468,-3.84,-0.55,18642332811264
2020-01-01,TCS.NS,INR,2168.00,2183.90,2154.00,2167.60,1986.13,1354908,-0.40,-0.02,10489197232128
2020-01-02,AAPL,USD,74.06,75.15,73.80,75.09,72.54,135480400,1.03,1.39,3791126003712
2020-01-02,ADBE,USD,330.00,334.48,329.17,334.43,334.43,1990100,4.43,1.34,150850879488
2020-01-02,AMZN,USD,93.75,94.90,93.21,94.90,94.90,80580000,1.15,1.23,2343934361600
2020-01-02,BA,USD,328.55,333.35,327.70,333.32,331.35,4544400,4.77,1.45,167307444224
2020-01-02,GOOGL,USD,67.42,68.43,67.32,68.43,67.97,27278000,1.01,1.50,2985129672704
2020-01-02,HDFCBANK.NS,INR,639.50,644.00,639.50,643.38,603.80,6137166,3.88,0.61,14516263845888
2020-01-02,HINDUNILVR.NS,INR,1940.00,1952.60,1930.00,1938.05,1772.14,663275,-1.95,-0.10,5901703446528
2020-01-02,IBM,USD,129.06,129.94,128.84,129.46,100.57,3293436,0.40,0.31,264840232960
2020-01-02,ICICIBANK.NS,INR,536.00,541.90,535.85,540.60,522.86,10264223,4.60,0.86,9712583049216
2020-01-02,INFY.NS,INR,738.90,740.80,730.90,734.70,644.63,5658200,-4.20,-0.57,6006129557504
2020-01-02,JPM,USD,139.79,141.10,139.26,141.09,120.15,10803700,1.30,0.93,869087182848
2020-01-02,META,USD,206.75,209.79,206.27,209.78,208.49,12077100,3.03,1.47,1868405276672
2020-01-02,MSFT,USD,158.78,160.73,158.33,160.62,152.79,22622100,1.84,1.16,3801767215104
2020-01-02,NFLX,USD,326.10,329.98,324.78,329.81,329.81,4485800,3.71,1.14,514420080640
2020-01-02,NVDA,USD,5.97,6.00,5.92,6.00,5.97,237536000,0.03,0.50,4338392236032
2020-01-02,ORCL,USD,53.27,53.96,53.23,53.95,49.54,13899600,0.68,1.28,805512216576
2020-01-02,RELIANCE.NS,INR,691.24,704.47,691.24,701.89,686.82,17710316,10.65,1.54,18642332811264
2020-01-02,TCS.NS,INR,2179.95,2179.95,2149.20,2157.65,1977.01,2380752,-22.30,-1.02,10489197232128
2020-01-02,TSLA,USD,28.30,28.71,28.11,28.68,28.68,142981500,0.38,1.34,1464396414976
2020-01-02,WMT,USD,39.62,39.96,39.57,39.65,36.51,20294700,0.03,0.08,822479355904
2020-01-03,AAPL,USD,74.29,75.14,74.12,74.36,71.83,146322800,0.07,0.09,3791126003712
2020-01-03,ADBE,USD,329.17,332.98,328.69,331.81,331.81,1577600,2.64,0.80,150850879488
2020-01-03,AMZN,USD,93.22,94.31,93.22,93.75,93.75,75288000,0.53,0.57,2343934361600
2020-01-03,BA,USD,330.63,334.89,330.30,332.76,330.79,3875900,2.13,0.64,167307444224
2020-01-03,GOOGL,USD,67.40,68.69,67.37,68.08,67.61,23408000,0.68,1.01,2985129672704
2020-01-03,HDFCBANK.NS,INR,641.10,642.50,631.80,634.20,595.19,10855550,-6.90,-1.08,14516263845888
2020-01-03,HINDUNILVR.NS,INR,1937.90,1940.00,1918.75,1927.45,1762.44,1598825,-10.45,-0.54,5901703446528
